Date,Date inferred,Recorder,Pounds,Ounces
9/5/2022,Yes,Gio,14,6
9/19/2022,Yes,Gio,13,9
10/3/2022,Yes,Gio,14,0.2
10/17/2022,Yes,Gio,14,3
10/31/2022,Yes,Gio,13,10
11/14/2022,Yes,Gio,13,15
11/28/2022,Yes,Gio,13,15
12/12/2022,Yes,Emily,13,15
12/26/2022,Yes,Emily,13,14
1/9/2023,Yes,Emily,13,12
1/23/2023,Yes,Emily,13,10
2/12/2023,No,Emily,13,10
2/19/2023,Yes,Emily,13,8.9
2/26/2023,Yes,Emily,13,7.9
3/12/2023,Yes,Emily,13,7.2
3/26/2023,Yes,Emily,13,1.5
4/2/2023,Yes,Emily,12,14
4/9/2023,No,Emily,12,12.5
4/16/2023,No,Emily,12,10
5/1/2023,No,Emily,12,8
